,PLAN,YEAR,CF_ASSET,CF_LIAB,CF_CUM_ASSET,CF_CUM_LIAB,COUPON,PRINCIPAL,GAP,CF_CUM
210,u120,2023,4254762.05,4208620.3341117995,14979936.149999999,8286275.8975781,1964762.05,2290000.0,46141.71588820033,6693660.252421899
211,u120,2024,6518652.05,4478445.5218916,21498588.2,12764721.4194697,1868652.05,4650000.0,2040206.5281083994,8733866.7805303
212,u120,2025,4983557.05,3582069.8880040995,26482145.25,16346791.3074738,1808557.05,3175000.0,1401487.1619959003,10135353.9425262
213,u120,2026,7238199.55,3768067.8749588,33720344.8,20114859.1824326,1738199.55,5500000.0,3470131.6750411997,13605485.617567398
214,u120,2027,3271299.55,926550.5374908999,36991644.349999994,21041409.7199235,1671299.55,1600000.0,2344749.0125091,15950234.630076494
215,u120,2028,3617299.55,1935819.2656605,40608943.89999999,22977228.985584,1617299.55,2000000.0,1681480.2843395,17631714.914415993
216,u120,2029,1553699.55,1712097.9820831001,42162643.44999999,24689326.9676671,1553699.55,0.0,-158398.43208310008,17473316.48233289
217,u120,2030,3053699.55,2170706.4587382,45216342.999999985,26860033.4264053,1553699.55,1500000.0,882993.0912617999,18356309.573594686
218,u120,2031,8024449.55,2357903.6501354002,53240792.54999998,29217937.0765407,1524449.55,6500000.0,5666545.899864599,24022855.47345928
219,u120,2032,2453749.55,1541133.6771632999,55694542.09999998,30759070.753704,1453749.55,1000000.0,912615.8728367,24935471.34629598
220,u120,2033,3437449.55,2177151.6578003,59131991.649999976,32936222.4115043,1437449.55,2000000.0,1260297.8921996998,26195769.238495678
221,u120,2034,5177449.55,2267678.6912346003,64309441.19999997,35203901.1027389,1377449.55,3800000.0,2909770.8587653995,29105540.09726107
222,u120,2035,2014789.55,1920854.1622609,66324230.74999997,37124755.2649998,1339789.55,675000.0,93935.38773910003,29199475.48500017
223,u120,2036,2328302.05,1578562.8134945002,68652532.79999997,38703318.0784943,1328302.05,1000000.0,749739.2365054996,29949214.721505664
224,u120,2037,6494502.05,2174969.6641799,75147034.84999996,40878287.7426742,1314502.05,5180000.0,4319532.3858201,34268747.10732576
225,u120,2038,1780102.05,1879205.5497360998,76927136.89999996,42757493.2924103,1180102.05,600000.0,-99103.49973609974,34169643.60758966
226,u120,2039,2143922.05,1899467.7495757001,79071058.94999996,44656961.041985996,1143922.05,1000000.0,244454.30042429967,34414097.90801396
227,u120,2040,3567122.05,2589513.2498382,82638180.99999996,47246474.2918242,1090122.05,2477000.0,977608.8001617999,35391706.708175756
228,u120,2041,4020698.05,5203449.034033401,86658879.04999995,52449923.3258576,1019698.05,3001000.0,-1182750.9840334011,34208955.72414235
229,u120,2042,887021.05,5554746.046447,87545900.09999995,58004669.3723046,887021.05,0.0,-4667724.996447,29541230.727695346
230,u120,2043,887021.05,8265168.9885382,88432921.14999995,66269838.3608428,887021.05,0.0,-7378147.9385382,22163082.789157145
231,u120,2044,10524812.05,9902723.271200001,98957733.19999994,76172561.6320428,887021.05,9637791.0,622088.7787999995,22785171.567957148
232,u120,2045,404699.5,5617455.919173299,99362432.69999994,81790017.5512161,404699.5,0.0,-5212756.419173299,17572415.148783848
233,u120,2046,5304699.5,3776929.0573390005,104667132.19999994,85566946.6085551,404699.5,4900000.0,1527770.4426609995,19100185.59144485
234,u120,2047,3354589.5,3199990.8446944,108021721.69999994,88766937.4532495,262599.5,3091990.0,154598.6553055998,19254784.246750444
235,u120,2048,4108000.0,2965417.9741303,112129721.69999994,91732355.4273798,108000.0,4000000.0,1142582.0258697001,20397366.27262014
236,u121,2021,7587445.05,16962090.14901,7587445.05,16962090.14901,5087445.05,2500000.0,-9374645.099009998,-9374645.099009998
237,u121,2022,19279947.05,18953311.925065003,26867392.1,35915402.074075,4960230.05,14319717.0,326635.1249349974,-9048009.974074997
238,u121,2023,13102949.2,18642129.22242,39970341.3,54557531.296495,4302949.2,8800000.0,-5539180.02242,-14587189.996495001
239,u121,2024,18164039.2,18371603.154245,58134380.5,72929134.45074,4124039.2,14040000.0,-207563.95424500108,-14794753.950739995
240,u121,2025,18453229.2,16392585.374792,76587609.7,89321719.82553199,3999229.2,14454000.0,2060643.825207999,-12734110.125531986
241,u121,2026,37465526.5,14684419.642486999,114053136.2,104006139.468019,3775526.5,33690000.0,22781106.857513003,10046996.73198101
242,u121,2027,13750212.5,12104584.977494,127803348.7,116110724.445513,3250212.5,10500000.0,1645627.5225060005,11692624.254487008
243,u121,2028,12715462.5,11277923.152164,140518811.2,127388647.59767699,3081462.5,9634000.0,1437539.3478360008,13130163.602322996
244,u121,2029,11176407.5,11465485.892818,151695218.7,138854133.490495,2886407.5,8290000.0,-289078.39281800017,12841085.209504992
245,u121,2030,11233737.5,9732436.0694558,162928956.2,148586569.5599508,2583737.5,8650000.0,1501301.4305441994,14342386.64004919
246,u121,2031,12388412.5,9828262.4870737,175317368.7,158414832.0470245,2338412.5,10050000.0,2560150.012926299,16902536.6529755
247,u121,2032,9190462.5,8983310.062991701,184507831.2,167398142.1100162,2177462.5,7013000.0,207152.43700829893,17109689.08998379
248,u121,2033,10809585.0,8187053.8389036,195317416.2,175585195.9489198,1778585.0,9031000.0,2622531.1610963996,19732220.251080185
249,u121,2034,6694068.5,8203546.388241701,202011484.7,183788742.3371615,1444068.5,5250000.0,-1509477.8882417008,18222742.362838477
250,u121,2035,12543518.5,7475181.4997494,214555003.2,191263923.8369109,1384518.5,11159000.0,5068337.0002506,23291079.363089085
251,u121,2036,1211677.0,7163227.5224273,215766680.2,198427151.3593382,1211677.0,0.0,-5951550.5224273,17339528.840661794
252,u121,2037,12259677.0,7131565.5228359,228026357.2,205558716.8821741,1211677.0,11048000.0,5128111.4771641,22467640.317825884
253,u121,2038,747661.0,5650852.783462901,228774018.2,211209569.66563702,747661.0,0.0,-4903191.783462901,17564448.53436297
254,u121,2039,847661.0,5653716.610053699,229621679.2,216863286.2756907,747661.0,100000.0,-4806055.610053699,12758392.924309283
255,u121,2040,8946281.0,4569351.1074399,238567960.2,221432637.3831306,746281.0,8200000.0,4376929.8925601,17135322.816869378
256,u121,2041,3769721.0,4011604.8383551002,242337681.2,225444242.2214857,476721.0,3293000.0,-241883.83835510025,16893438.978514284
257,u121,2042,321950.0,3881432.0443553003,242659631.2,229325674.265841,321950.0,0.0,-3559482.0443553003,13333956.93415898
258,u121,2043,321950.0,2772584.3024102002,242981581.2,232098258.5682512,321950.0,0.0,-2450634.3024102002,10883322.631748796
259,u121,2044,2821950.0,2783508.0822033,245803531.2,234881766.6504545,321950.0,2500000.0,38441.917796699796,10921764.549545497
260,u121,2045,193200.0,2403967.8041878003,245996731.2,237285734.4546423,193200.0,0.0,-2210767.8041878003,8710996.745357692
261,u121,2046,4993200.0,1827363.5954367002,250989931.2,239113098.050079,193200.0,4800000.0,3165836.4045633,11876833.149921
262,u121,2047,54000.0,1739190.4394460998,251043931.2,240852288.48952508,54000.0,0.0,-1685190.4394460998,10191642.710474908
263,u121,2048,2054000.0,1131518.8455854,253097931.2,241983807.3351105,54000.0,2000000.0,922481.1544146,11114123.864889503
264,u125,2021,128282444.65,127949031.80009,128282444.65,127949031.80009,19957402.650000002,108325042.0,333412.8499100059,333412.8499100059
265,u125,2022,106300535.65,104486438.45774001,234582980.3,232435470.25783002,15468535.65,90832000.0,1814097.1922599971,2147510.042169988
266,u125,2023,90816101.75,84953360.212488,325399082.05,317388830.470318,12501101.75,78315000.0,5862741.537512004,8010251.5796819925
267,u125,2024,69346749.75,69720263.01199101,394745831.8,387109093.48230904,10555749.75,58791000.0,-373513.2619910091,7636738.3176909685
268,u125,2025,56116117.75,57095896.446895994,450861949.55,444204989.92920506,9252117.75,46864000.0,-979778.6968959942,6656959.620794952
269,u125,2026,71611434.55,47334309.707773,522473384.1,491539299.63697803,8338434.55,63273000.0,24277124.842226997,30934084.463021994
270,u125,2027,40882642.050000004,39638121.270969994,563356026.15,531177420.907948,7212444.05,33670198.0,1244520.77903001,32178605.24205196
271,u125,2028,33385866.35,33424858.213555,596741892.5,564602279.121503,5885866.35,27500000.0,-38991.86355499923,32139613.378497005
272,u125,2029,32567496.35,27757064.777884,629309388.85,592359343.899387,5059496.35,27508000.0,4810431.572116002,36950044.95061302
273,u125,2030,47291416.35,23507196.332317002,676600805.2,615866540.231704,4491416.35,42800000.0,23784220.017683,60734264.96829605
274,u125,2031,20524223.35,19647912.503263,697125028.5500001,635514452.734967,3733916.35,16790307.0,876310.8467370011,61610575.81503308
275,u125,2032,23098731.0,16416452.811408002,720223759.5500001,651930905.546375,3171731.0,19927000.0,6682278.188591998,68292854.00362504
276,u125,2033,29504928.5,13828819.688028,749728688.0500001,665759725.234403,2404928.5,27100000.0,15676108.811972,83968962.81559706
277,u125,2034,12277340.5,11700544.898923999,762006028.5500001,677460270.133327,1803178.5,10474162.0,576795.6010760013,84545758.41667306
278,u125,2035,12788830.4,9715569.9292881,774794858.95,687175840.0626152,1288830.4,11500000.0,3073260.4707119,87619018.88738489
279,u125,2036,9723280.4,8154494.9876225,784518139.35,695330335.0502377,1223280.4,8500000.0,1568785.4123775,89187804.29976237
280,u125,2037,4756830.4,7214904.2698853,789274969.75,702545239.320123,956830.4,3800000.0,-2458073.8698852994,86729730.42987704
281,u125,2038,6716588.4,6421000.786518199,795991558.15,708966240.1066412,804830.4,5911758.0,295587.613481801,87025318.0433588
282,u125,2039,509242.5,5641997.532369399,796500800.65,714608237.6390105,509242.5,0.0,-5132755.032369399,81892563.01098943
283,u125,2040,12509242.5,4859359.1514985,809010043.15,719467596.7905091,509242.5,12000000.0,7649883.3485015,89542446.35949087
284,u125,2041,3411242.5,4061039.7546221004,812421285.65,723528636.5451312,411242.5,3000000.0,-649797.2546221004,88892649.10486877
285,u125,2042,270242.5,3241229.9869388,812691528.15,726769866.53207,270242.5,0.0,-2970987.4869388,85921661.61792994
286,u125,2043,270242.5,2486017.35674,812961770.65,729255883.88881,270242.5,0.0,-2215774.85674,83705886.76118994
287,u125,2044,3265242.5,1903497.6686465,816227013.15,731159381.5574565,270242.5,2995000.0,1361744.8313535,85067631.59254348
288,u125,2045,116000.0,1456105.1843370001,816343013.15,732615486.7417935,116000.0,0.0,-1340105.1843370001,83727526.40820646
289,u125,2046,4116000.0,1112404.1129535001,820459013.15,733727890.854747,116000.0,4000000.0,3003595.8870465,86731122.29525292
290,u130,2021,7475166.199999999,8038984.19857,7475166.199999999,8038984.19857,1375166.2000000002,6100000.0,-563817.9985700008,-563817.9985700008
291,u130,2022,5168996.199999999,5682427.750552,12644162.399999999,13721411.949122,1293996.2,3875000.0,-513431.5505520003,-1077249.549122002
292,u130,2023,7043996.199999999,6479747.5674015,19688158.599999998,20201159.516523503,1293996.2,5750000.0,564248.6325984988,-513000.916523505
293,u130,2024,6912796.199999999,7605167.0784535,26600954.799999997,27806326.594977003,1230296.2,5682500.0,-692370.8784535006,-1205371.7949770056
294,u130,2025,9153996.2,7329765.5228627,35754951.0,35136092.1178397,1153996.2,8000000.0,1824230.6771372994,618858.8821602985
295,u130,2026,7107482.199999999,6452086.6167293005,42862433.2,41588178.734569,885796.2,6221686.0,655395.5832706988,1274254.4654310048
296,u130,2027,6378765.899999999,5934454.6842027,49241199.1,47522633.4187717,674711.8999999999,5704054.0,444311.2157972995,1718565.6812283024
297,u130,2028,7028952.55,6141890.4408202,56270151.65,53664523.8595919,528952.55,6500000.0,887062.1091797994,2605627.790408097
298,u130,2029,7228952.55,6014335.423070699,63499104.199999996,59678859.2826626,528952.55,6700000.0,1214617.1269293008,3820244.9173373953
299,u130,2030,348952.55,4312805.8563884,63848056.74999999,63991665.139051,348952.55,0.0,-3963853.3063884005,-143608.38905100524
300,u130,2031,348952.55,4991218.0271681,64197009.29999999,68982883.1662191,348952.55,0.0,-4642265.4771681,-4785873.866219111
301,u130,2032,348952.55,3405163.1929825,64545961.84999999,72388046.3592016,348952.55,0.0,-3056210.6429825,-7842084.509201609
302,u130,2033,2175717.55,1877165.7542726,66721679.39999998,74265212.11347419,348952.55,1826765.0,298551.7957273999,-7543532.713474207
303,u130,2034,2538001.3000000003,2330787.8115975,69259680.69999999,76595999.92507169,257614.3,2280387.0,207213.48840250028,-7336319.225071698
304,u130,2035,143594.95,1828189.44453,69403275.64999999,78424189.36960168,143594.95,0.0,-1684594.49453,-9020913.71960169
305,u130,2036,2007493.95,1914299.5449017,71410769.6,80338488.91450338,143594.95,1863899.0,93194.40509829996,-8927719.314503387
306,u130,2037,1250400.0,832268.47199133,72661169.6,81170757.38649471,50400.0,1200000.0,418131.52800866996,-8509587.786494717
317,u202,2021,3610417.14234375,3458864.9485270004,3610417.14234375,3458864.9485270004,733150.14234375,2877267.0,151552.19381674984,151552.19381674984
318,u202,2022,3284540.79234375,3276851.8768049,6894957.934687501,6735716.8253319,589286.79234375,2695254.0,7688.91553885024,159241.10935560055
319,u202,2023,2965928.09234375,3093001.4965661,9860886.02703125,9828718.321898,454524.09234375,2511404.0,-127073.4042223501,32167.705133249983
320,u202,2024,2671281.8923437498,2923926.0018459004,12532167.919375,12752644.3237439,328953.89234375,2342328.0,-252644.10950215068,-220476.40436889976
321,u202,2025,211837.49234375,2760717.3135166,12744005.41171875,15513361.6372605,211837.49234375,0.0,-2548879.82117285,-2769356.22554175
322,u202,2026,678462.4923437501,2569452.3718276,13422467.9040625,18082814.0090881,211837.49234375,466625.0,-1890989.87948385,-4660346.105025599
323,u202,2027,2135145.25,2377405.7536254,15557613.1540625,20460219.7627135,180340.25,1954805.0,-242260.5036253999,-4902606.608650999
324,u202,2028,82600.0,2217906.5091173,15640213.1540625,22678126.2718308,82600.0,0.0,-2135306.5091173,-7037913.117768301
325,u202,2029,82600.0,2075931.1236417003,15722813.1540625,24754057.3954725,82600.0,0.0,-1993331.1236417003,-9031244.24141
326,u202,2030,82600.0,1941039.7571437,15805413.1540625,26695097.1526162,82600.0,0.0,-1858439.7571437,-10889683.998553699
327,u202,2031,82600.0,1819787.8906341,15888013.1540625,28514885.0432503,82600.0,0.0,-1737187.8906341,-12626871.8891878
328,u202,2032,82600.0,1713153.4850195001,15970613.1540625,30228038.5282698,82600.0,0.0,-1630553.4850195001,-14257425.374207301
329,u202,2033,82600.0,1603048.4335035998,16053213.1540625,31831086.961773403,82600.0,0.0,-1520448.4335035998,-15777873.807710903
330,u202,2034,82600.0,1498409.6529526,16135813.1540625,33329496.614726003,82600.0,0.0,-1415809.6529526,-17193683.460663505
331,u202,2035,82600.0,1417938.8895529998,16218413.1540625,34747435.504279,82600.0,0.0,-1335338.8895529998,-18529022.3502165
332,u202,2036,2082600.0,1338706.5853416,18301013.154062502,36086142.089620605,82600.0,2000000.0,743893.4146584,-17785128.935558103
333,u206,2021,21795113.67625,31107958.861224,21795113.67625,31107958.861224,5292583.6762500005,16502530.0,-9312845.184974,-9312845.184974
334,u206,2022,19164868.604999997,29540831.451911002,40959982.28125,60648790.313135,5164868.605,14000000.0,-10375962.846911006,-19688808.031884998
335,u206,2023,19164868.604999997,27941449.323102,60124850.88625,88590239.636237,5164868.605,14000000.0,-8776580.718102004,-28465388.749987
336,u206,2024,17164868.605,26322924.564455,77289719.49125,114913164.200692,5164868.605,12000000.0,-9158055.959454998,-37623444.709442005
337,u206,2025,15164868.605,24694230.56277,92454588.09625,139607394.763462,5164868.605,10000000.0,-9529361.957770001,-47152806.66721201
338,u206,2026,23164868.604999997,23063231.572625,115619456.70124999,162670626.33608702,5164868.605,18000000.0,101637.03237499669,-47051169.63483703
