group,t_to,l_cflow_rp
u121,43,-63.50368306619
u121,44,0
u121,45,0
u121,46,0
u121,47,0
u121,48,0
u121,49,0
u121,50,0
u121,51,0
u121,52,0
u121,53,0
u121,54,0
u121,55,0
u121,56,0
u121,57,0
u121,58,0
u121,59,0
u121,60,0
u125,0,0
u125,1,-127949.03180009
u125,2,-104486.43845774
u125,3,-84953.360212488
u125,4,-69720.263011991
u125,5,-57095.896446896
u125,6,-47334.309707773
u125,7,-39638.12127097
u125,8,-33424.858213555
u125,9,-27757.064777884
u125,10,-23507.196332317
u125,11,-19647.912503263
u125,12,-16416.452811408
u125,13,-13828.819688028
u125,14,-11700.544898924
u125,15,-9715.5699292881
u125,16,-8154.4949876225
u125,17,-7214.9042698853
u125,18,-6421.0007865182
u125,19,-5641.9975323694
u125,20,-4859.3591514985
u125,21,-4061.0397546221
u125,22,-3241.2299869388
u125,23,-2486.01735674
u125,24,-1903.4976686465
u125,25,-1456.105184337
u125,26,-1112.4041129535
u125,27,-848.81543687556
u125,28,-646.75041453301
u125,29,-491.87591017327
u125,30,-374.07705697892
u125,31,-283.97787312208
u125,32,-215.1230912225
u125,33,-162.75933422157
u125,34,0
u125,35,0
u125,36,0
u125,37,0
u125,38,0
u125,39,0
u125,40,0
u125,41,0
u125,42,0
u125,43,0
u125,44,0
u125,45,0
u125,46,0
u125,47,0
u125,48,0
u125,49,0
u125,50,0
u125,51,0
u125,52,0
u125,53,0
u125,54,0
u125,55,0
u125,56,0
u125,57,0
u125,58,0
u125,59,0
u125,60,0
u130,0,0
u130,1,-8038.98419857
u130,2,-5682.427750552
u130,3,-6479.7475674015
u130,4,-7605.1670784535
u130,5,-7329.7655228627
u130,6,-6452.0866167293
u130,7,-5934.4546842027
u130,8,-6141.8904408202
u130,9,-6014.3354230707
u130,10,-4312.8058563884
u130,11,-4991.2180271681
u130,12,-3405.1631929825
u130,13,-1877.1657542726
u130,14,-2330.7878115975
u130,15,-1828.18944453
u130,16,-1914.2995449017
u130,17,-832.26847199133
u130,18,-722.85127754284
u130,19,-728.40778895508
u130,20,-440.0203085857
u130,21,-672.2486186413
u130,22,-330.63546963511
u130,23,-108.06795572633
u130,24,-212.02717872802
u130,25,-188.56937492717
u130,26,-244.31005488685
u130,27,-103.26478261872
u130,28,-426.71026112365
u130,29,-189.26610575175
u130,30,-33.517716213896
u130,31,-31.180339473971
u130,32,-144.13564902273
u130,33,-110.08626171696
u130,34,-31.33673298469
u130,35,-171.91796662784
u130,36,-359.28473473851
u130,37,-26.670408822732
u130,38,-9.5236061917477
u130,39,-345.26681959917
u130,40,0
u130,41,0
u130,42,0
u130,43,0
u130,44,0
u130,45,0
u130,46,0
u130,47,0
u130,48,0
u130,49,0
u130,50,0
u130,51,0
u130,52,0
u130,53,0
u130,54,0
u130,55,0
u130,56,0
u130,57,0
u130,58,0
u130,59,0
u130,60,0
u201,0,0
u201,1,-2903.048552828
u201,2,-2550.9527774122
u201,3,-2227.2889886602
u201,4,-1932.9837120997
u201,5,-1668.0754761427
u201,6,-1432.1666956196
u201,7,-1224.2754294125
u201,8,-1043.0354158827
u201,9,-876.40426304215
u201,10,-744.1392607363
u201,11,-632.1300952659
u201,12,-537.99315403349
u201,13,-459.3914930517
u201,14,-393.93188118013
u201,15,-339.36465502602
u201,16,-293.68040442345
u201,17,-255.15596471643
u201,18,-222.39495903251
u201,19,-194.26775024683
u201,20,-169.90442156942
u201,21,-148.67485480264
u201,22,-130.08881524587
u201,23,-113.77431778321
u201,24,-99.452714455233
u201,25,-86.873074541637
u201,26,-75.828548787614
u201,27,-66.144933399045
u201,28,-57.661997598403
u201,29,-50.235102126248
u201,30,-43.740157686762
u201,31,-38.055474545663
u201,32,-33.08044740338
u201,33,-28.723502502327
u201,34,-24.901650602304
u201,35,-21.53938223025
u201,36,-18.576283077887
u201,37,-15.962061089114
u201,38,-13.652937104173
u201,39,-11.613169011984
u201,40,-9.8177274860998
u201,41,-8.2446554935061
u201,42,-6.8764162796263
u201,43,-5.694352587007
u201,44,-4.6834222495066
u201,45,-3.8264178362293
u201,46,0
u201,47,0
u201,48,0
u201,49,0
u201,50,0
u201,51,0
u201,52,0
u201,53,0
u201,54,0
u201,55,0
u201,56,0
u201,57,0
u201,58,0
u201,59,0
u201,60,0
u202,0,0
u202,1,-3458.864948527
u202,2,-3276.8518768049
u202,3,-3093.0014965661
u202,4,-2923.9260018459
u202,5,-2760.7173135166
u202,6,-2569.4523718276
u202,7,-2377.4057536254
u202,8,-2217.9065091173
u202,9,-2075.9311236417
u202,10,-1941.0397571437
u202,11,-1819.7878906341
u202,12,-1713.1534850195
u202,13,-1603.0484335036
u202,14,-1498.4096529526
u202,15,-1417.938889553
u202,16,-1338.7065853416
u202,17,-1268.0829817064
u202,18,-1200.5494231412
u202,19,-1137.929774814
u202,20,-1081.8123572041
u202,21,-1028.772505489
u202,22,-975.9263846761
u202,23,-927.3017675602
u202,24,-878.92812450824
u202,25,-831.11018702596
u202,26,-783.65807710341
u202,27,-736.37079867826
u202,28,-689.19028139875
u202,29,-642.20092786191
u202,30,-595.44630732363
u202,31,-549.13023839826
u202,32,-503.54583528164
u202,33,-458.92314716415
u202,34,-415.53911225956
u202,35,-373.58258644185
u202,36,-333.36630284508
u202,37,-295.26127409062
u202,38,-259.71710214675
u202,39,-227.01590990468
u202,40,-197.29475043229
u202,41,-170.67400636086
u202,42,-147.12943404802
u202,43,-126.41239461886
u202,44,-108.37218341164
u202,45,-93.144058021697
u202,46,-80.462417025477
u202,47,-69.893496596161
u202,48,-61.201227695971
u202,49,-54.142851573131
u202,50,-48.429670077229
u202,51,-43.771835208003
u202,52,-39.948378623531
u202,53,-36.796092571201
u202,54,-34.219299178737
u202,55,-32.140185151091
u202,56,-30.498915335602
u202,57,-29.246444881354
u202,58,-28.321324362484
u202,59,-27.652020088875
u202,60,-299.01101969722
u206,0,0
u206,1,-31107.958861224
u206,2,-29540.831451911
u206,3,-27941.449323102
u206,4,-26322.924564455
u206,5,-24694.23056277
u206,6,-23063.231572625
u206,7,-21439.051522078
u206,8,-19831.771806902
u206,9,-18250.092296399
u206,10,-16706.020746311
u206,11,-15078.634314076
u206,12,-13648.52399174
u206,13,-12279.023459073
u206,14,-10980.388352777
u206,15,-9755.7963062096
u206,16,-8608.9532184154
u206,17,-7542.2738525699
u206,18,-6558.3470199478
u206,19,-5658.1999060935
u206,20,-4842.3651517862
u206,21,-4110.9935183568
u206,22,-3462.4959110463
u206,23,-2893.7550069391
u206,24,-2400.5705782721
u206,25,-1978.0597248441
u206,26,-1620.4415613105
u206,27,-1321.3402431514
u206,28,-1074.1848310617
u206,29,-872.25437676559
u206,30,-708.86157092514
u206,31,-577.63264505328
u206,32,-472.73972366708
u206,33,-388.93118852034
u206,34,-321.67609780644
u206,35,-267.32557889079
u206,36,-223.00575027678
u206,37,-186.50267013422
u206,38,-156.20103557623
u206,39,-130.90336249203
u206,40,-109.79329188189
u206,41,-92.125957628793
u206,42,-77.344137959548
u206,43,-64.993586972378
u206,44,-54.691860866707
u206,45,0
u206,46,0
u206,47,0
u206,48,0
u206,49,0
u206,50,0
u206,51,0
u206,52,0
u206,53,0
u206,54,0
u206,55,0
u206,56,0
u206,57,0
u206,58,0
u206,59,0
u206,60,0
u207,0,0
u207,1,-2131.433800411
u207,2,-231.3543127531
u207,3,-727.94279706238
u207,4,-4887.4876335563
u207,5,-3141.7125798466
u207,6,-5802.2059790824
u207,7,-2827.3949737388
u207,8,-2175.6095766991
u207,9,-6108.9677910229
u207,10,-2570.079106254
u207,11,-1396.2195140693
u207,12,-1634.751696694
u207,13,-362.04829560391
u207,14,-1842.1378260976
u207,15,-3741.1985284052
u207,16,-4390.3896334599
u207,17,-2979.9023388774
u207,18,-3150.5347259937
u207,19,-725.92813526876
u207,20,-418.38789320706
u207,21,-268.88947308247
